Afghanistan	2010	2010	2011	2003	2013	2013	2012	2009	2011	2012	2008
Albania	2014	2014	2010	2015	2010	2010	2015	2013	2015	1981	2012
Algeria	2013	2010	2013	2012	2001	2015	2006	2011	2012	2001	2003
Angola	1963	1959	2011	1961	1967	1961	1960	1959	1964	2015	1962
Antigua and Barbuda	2010	1952	2010	2010	1993	1975	EMPTY	2011	1942	1994	1980
Argentina	2001	1963	2015	1995	1975	2007	2012	1975	2010	1975	1976
Armenia	1966	1966	1966	1966	1989	1988	1988	2002	1974	1987	1982
Aruba	1998	2009	1998	2004	2015	1988	1976	2010	1984	1987	1989
Australia	1992	2013	2010	2010	1996	2015	2015	1988	1992	2008	1993
Austria	2015	2015	2015	2000	2001	1974	2014	1975	1996	1976	1978
Azerbaijan	2010	2010	2001	2004	2001	2011	2012	2002	2010	EMPTY	2004
Bahamas	2011	2011	2011	1991	1996	1991	1975	2009	2011	2003	2003
Bahrain	2010	2010	2010	2008	1959	1975	1998	2003	1978	1983	1988
Bangladesh	2015	1958	2008	2015	1961	1961	2014	1959	1944	1962	1961
Barbados	2010	2010	2010	2004	2015	1984	2001	2011	2012	2006	1978
Belarus	2015	2015	2015	1962	2011	2008	2010	2010	2009	1980	1988
Belgium	2014	2011	2014	1983	1986	1974	2010	1999	1988	2014	1981
Belize	2004	2003	2003	2000	2001	2013	2015	2013	2012	2014	2014
Benin	1996	1996	1987	2010	1996	2012	2012	2010	2012	1988	1985
Bermuda	1989	1994	1975	1994	2010	1986	2010	2014	1942	1968	1977
Bolivia	2015	2015	2015	2011	2010	1992	1981	2007	2011	1987	2014
Bosnia and Herzegovina	2003	2003	1990	1978	1988	2014	2009	2013	1974	1997	2013
Botswana	2003	2003	2015	1997	2006	2009	1990	2011	2000	1989	2014
Brazil	2013	2012	2010	1995	2015	1990	1974	2006	2000	1995	1996
British Indian Ocean Territory	2015	1978	2015	1981	1989	1983	1979	2006	1988	1986	1984
British Virgin Islands	2015	2015	2015	EMPTY	2015	2011	EMPTY	2011	EMPTY	2014	EMPTY
Brunei	1978	2009	1998	1984	1978	1984	1979	2006	1983	1990	1979
Bulgaria	2004	2015	2007	2004	1978	2014	1987	1995	1981	1994	1992
Burkina Faso	2010	1993	2010	2010	2001	2013	1981	2012	1986	1982	1986
Cambodia	2011	2015	2012	EMPTY	1999	2008	2011	2010	1999	EMPTY	2008
