Afghanistan	2012	2012	2003	2012	2011	2010	2009	2011	2010	2015	2015
Albania	1989	1989	1989	2015	1981	2015	2010	2015	2010	2009	2009
Algeria	2006	2006	2006	2008	2014	2008	2008	2008	2008	2008	2008
Angola	1962	1958	1958	1958	1964	2015	1958	2015	1962	1958	1958
Antigua and Barbuda	1975	1943	1949	2015	1949	2015	2014	1952	2014	2014	2014
Argentina	1980	2009	2006	1998	1964	1964	2015	2010	2009	2015	2015
Armenia	1973	1969	1982	1997	1974	1970	1999	1970	1981	1986	1986
Aruba	1985	1976	1985	2015	2011	2001	1989	2001	1989	1985	1988
Australia	2007	2007	2006	1988	2014	2010	2008	2008	2008	2008	2008
Austria	1980	1984	1976	1993	2000	1993	2008	1994	2006	1994	1994
Azerbaijan	2003	2003	2008	2004	2007	2001	2009	2007	2014	2014	2014
Bahamas	1976	2006	1981	1981	2015	2011	1994	2011	1974	1999	1994
Bahrain	1992	1959	1992	1962	1968	1962	2006	2001	2004	2003	2006
Bangladesh	1945	1961	1944	1958	1958	1958	2015	2009	1959	2014	2014
Barbados	1984	1976	1984	1982	1995	1945	1997	1984	1997	1997	1997
Belarus	1987	1987	1987	2015	2001	1973	1974	1974	1974	2006	2006
Belgium	1987	1979	1987	1989	1997	2008	2014	2015	2008	1986	2009
Belize	1997	1997	1987	2004	1995	1995	1995	1995	1995	1995	1995
Benin	2012	2012	2008	2011	1997	1993	1993	2014	1993	2006	1997
Bermuda	1965	1965	2001	2011	1983	1968	1954	1943	1966	1954	1954
Bolivia	1986	1954	1961	1998	1984	2008	2008	2010	1995	2008	2008
Bosnia and Herzegovina	1976	1976	1976	1998	1961	1997	2007	1961	1982	2014	2014
Botswana	2000	1981	2004	2003	2006	2003	2009	2008	2009	2009	2009
Brazil	1976	1976	2014	2003	1990	2013	1987	1993	1987	1987	1987
British Indian Ocean Territory	1975	1980	1977	1992	1981	1974	1985	1973	1987	1985	1985
British Virgin Islands	2011	2013	2013	EMPTY	2015	2015	2012	2012	2012	2012	2012
Brunei	1985	1984	1986	1998	1986	1995	2009	1995	2009	2009	2009
Bulgaria	1976	1976	1976	1999	2009	1958	2007	2015	1992	1997	1997
Burkina Faso	1982	1982	1986	1984	2013	1984	1984	2013	1984	1981	1984
Cambodia	2008	2008	2008	EMPTY	2008	2004	2014	2004	2014	2014	2014
Cameroon	2014	2013	2014	2013	2003	2013	2014	2013	2014	2014	2014
Canada	2009	2009	2009	1993	2001	1993	1993	1993	1993	1997	1997
Cape Verde	1974	1974	1974	1974	2008	1974	2012	2014	2012	2012	2011
Cayman Islands	1992	1992	1994	1997	1997	1997	2007	1997	2007	1997	2007
Central African Republic	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012	2012
Chad	2001	2004	2001	1993	2013	2015	2006	2015	2006	2006	2004
Chile	1980	1980	1980	2013	2015	1998	2011	2011	2014	2011	2011
China	1985	1976	1985	1998	2000	2015	1959	2014	2011	1994	1994
Christmas Island	2008	2008	2001	2006	2010	2011	2011	2008	2011	2011	2011
Colombia	2012	2012	1965	2015	1979	2015	2013	1976	1977	2013	2013
Comoros	2012	1978	1978	2007	1978	2000	1978	1997	1978	1978	1993
Congo	1977	1977	2015	2004	1977	2008	2015	2004	2015	2015	2015
Cook Islands	1987	2001	1987	2011	1995	2011	2011	2011	2011	2011	2011
Costa Rica	1950	1950	1950	1997	1950	2001	2012	1950	2003	2013	2001
Croatia	2010	2010	2010	1998	2007	2003	2003	2011	2007	2007	2004
Cuba	2010	2010	1950	1997	1993	2011	1954	1952	1982	1974	1991
Cyprus	1992	1992	1992	1973	2008	2008	2008	1990	2015	2008	2008
Czech Republic	1941	1941	1940	2003	2003	1942	1989	1943	1983	2006	1961
Côte d'Ivoire	1983	1982	1983	1983	2015	1983	1983	1983	1982	1983	2015
Democratic Republic of the Congo	2001	2012	2012	EMPTY	2006	2001	2013	2001	2011	2013	2013
Denmark	1979	1979	1985	2009	2006	1991	1991	1991	1991	1990	1996
Djibouti	1958	1958	1958	1958	1958	1958	1958	1958	1958	1958	1958
Dominica	2011	2000	2008	2012	2004	2000	1996	1994	1996	1996	1996
Dominican Republic	1945	1950	1984	1998	1950	1949	1975	1949	1984	1975	1975
East Timor	1958	1958	1958	EMPTY	1958	1958	1958	1958	1958	1958	1958
Ecuador	1975	2000	2012	1980	1978	1980	1978	1945	1979	1980	1987
Egypt	2011	1997	2008	1962	2014	1962	2010	2010	2014	2010	2010
El Salvador	1962	1974	1962	1997	2003	1957	1974	1957	2003	1974	1997
Equatorial Guinea	2014	2008	2011	EMPTY	2015	2015	2014	2015	2014	2014	2014
Estonia	1987	1987	1969	1975	1997	1996	1989	1965	1993	2001	2006
Ethiopia	1944	2011	1995	1944	1944	1944	2013	1944	1944	2012	2012
Falkland Islands	1985	1985	1985	EMPTY	1985	1985	1985	1985	1985	1985	1985
Fiji	2010	2010	2010	2001	2011	2001	1986	2001	1985	1986	1986
Finland	1981	1981	1985	2006	2000	1995	2004	2003	2004	2001	2001
Former Yugoslav Republic of Macedonia	2006	1996	2011	1977	1992	1993	2014	1997	2009	1976	1976
France	1978	1979	1978	2003	1992	2015	2011	2015	2008	1980	2015
French Guiana	2014	1945	1978	1995	2011	1995	2000	2015	1994	2000	2000
French Polynesia	1987	1978	1987	1981	1977	2013	1986	2013	1986	1986	1986
Gabon	2011	1983	2013	2003	2013	2013	2013	1983	2014	2013	2013
Georgia	1976	1969	1969	2004	1996	1966	1966	1978	1991	1988	1988
Germany	1978	1940	1978	2007	1992	2007	1989	1989	2007	1984	1991
Ghana	1943	1943	1943	EMPTY	1944	2013	2013	1943	2013	2013	2013
Gibraltar	1973	1959	1974	1998	2012	1998	1998	2015	1997	1999	1998
Greece	1973	1973	1976	1997	2004	2015	2015	1994	2004	2001	2001
Greenland	2006	2006	2006	1999	2015	1999	2000	2008	1999	2008	2008
Grenada	2000	1992	2011	2013	2006	1995	1994	1994	1995	1994	1994
Guadeloupe	2014	1958	1958	1983	1958	1958	1997	2015	1997	1997	1997
Guatemala	2011	2011	2012	1997	2010	2012	2006	1958	2011	2006	2006
Guinea	2014	2009	2014	2004	2014	2009	2004	2009	2004	2004	2013
Guinea-Bissau	EMPTY	EMPTY	EMPTY	EMPTY	EMPTY	2010	2010	2010	2012	2010	2010
Guyana	1942	1946	2014	2015	1948	2001	1998	1946	1942	1998	1998
Haiti	1982	1982	1982	1978	1983	1980	1975	1979	1975	1975	1975
Honduras	2007	2012	2007	2015	1958	2015	2015	2003	2015	2015	2015
Hong Kong	1984	1984	1984	1998	1984	2004	1985	1999	2004	1985	1984
Hungary	1980	1980	1980	1997	1987	2009	2009	1999	2009	2012	2012
Iceland	1967	1967	1967	2014	2010	2014	2014	2014	2014	2014	2014
India	2014	2014	2009	1998	2001	2012	1958	1943	2013	2013	2014
Indonesia	2009	2014	2011	1994	2010	2015	2012	2009	2014	2012	2012
Iran	2011	2011	2014	1958	1996	1977	2013	1996	2013	2008	2008
Iraq	1949	1945	2015	1958	1950	1958	1958	1958	1958	1958	1958
Ireland	2010	1986	2010	2010	1997	2015	2015	2015	2015	2006	2007
Israel	1992	1992	1992	2007	1980	2009	1992	2003	2000	1992	1990
Italy	1980	1974	1974	1998	2015	2006	1966	2006	1966	1995	1998
Jamaica	1979	1979	1944	2014	1948	1997	1998	1997	1998	1998	1998
Japan	1995	1986	1963	2015	2015	2004	1998	2008	1953	2006	2008
Jordan	1992	1992	1992	1999	1999	1973	1981	2008	1999	1981	1995
Kazakhstan	1969	1969	1969	1999	1980	1996	1996	1960	1995	1979	1986
Kenya	1996	1958	1984	1957	2013	1957	2009	1957	1957	2007	2010
Kiribati	2008	2008	1989	2009	1973	2009	2009	1984	2015	2015	2009
Kuwait	1982	1982	1981	1958	2010	2008	2009	2009	2008	2009	2009
Kyrgyzstan	2006	2015	2014	2006	2006	2013	2014	2015	2014	2015	2015
Laos	1952	1993	1955	1986	1966	1986	1966	1986	2008	1966	1966
Latvia	1969	1985	1969	1982	2010	1996	1974	2013	2011	1998	1996
Lebanon	1996	1996	1996	1958	2011	1975	2012	1975	2013	2010	2013
Liberia	1943	1943	1943	1989	2013	1989	2010	1944	2010	2010	2010
Libya	1961	1961	1956	2010	2009	2010	2009	2009	2010	2009	2009
Lithuania	1987	1980	1987	1982	2013	1999	2008	1986	1986	2011	2007
Luxembourg	1985	1987	1985	2014	1997	1994	1994	1994	1994	1991	1953
Macau	1993	1993	2012	1998	1991	2006	2015	1999	2010	2013	2013
Madagascar	2012	1989	2013	2012	2003	1987	2014	2011	2007	2014	2014
Malaysia	2010	2006	2006	1997	1973	2006	2009	2010	1978	2009	2009
Maldives	1992	1993	1994	2014	2015	2014	2004	2001	2001	2001	2001
Mali	2014	2014	2014	1994	1958	1994	1994	1994	1994	1994	1994
Malta	1976	1976	1980	1987	2003	1961	1966	1963	1962	1966	1957
Marshall Islands	1976	1976	1991	1984	1982	2012	1982	1948	1982	1982	1979
Martinique	2014	2012	1984	2011	1993	2011	1998	2014	1998	1998	1998
Mauritania	1958	1967	1991	1966	1958	1966	1985	1985	1958	1985	1985
Mauritius	2004	2003	1989	2013	1997	2013	2010	2001	2010	2010	2010
Mexico	1990	2013	1990	1997	2007	1974	1992	2000	1999	1992	1992
