Afghanistan	KANDAHAR AIRPORT;21.4	KANDAHAR AIRPORT;28.4	Mazar-I-Sharif;14.3	KABUL AIRPORT;271.02	Mazar-I-Sharif;13.2	Mazar-I-Sharif;87.0	KABUL AIRPORT;30.0	KABUL AIRPORT;35.0	KUNDUZ;39.0	KUNDUZ;1.0	KABUL AIRPORT;5.0
Albania	HASSI R MEL;22.7	HASSI R MEL;27.2	HASSI R MEL;15.1	KORCA;1394.95	HASSI R MEL;24.4	Tirana;164.0	PESHKOPI;20.0	Tirana;83.0	KUKES;55.0	Tirana;1.0	TIRANA-LA PRAKA;7.0
Algeria	BORDJ MOKHTAR;28.9	IN-SALAH;36.2	BORDJ MOKHTAR;20.6	Bejaia;1373.41	DAUPHIN ISLAND;35.6	PSKOV;179.0	BRATSK II;159.0	Laghouat;76.0	KHATANGA;121.0	Annaba;3.0	Dar-El-Beida;12.0
Angola	Cabinda;25.8	SAURIMO (HENRIQUE D;29.6	Luanda;23.1	Huambo Nova Lisboa;1837.14	Luanda;15.5	Huambo Nova Lisboa;138.0	Huambo Nova Lisboa;1.0	LUENA (LUSO);103.0	MALANGE;125.0	Cabinda;1.0	LUENA (LUSO);3.0
Antigua and Barbuda	Charlestown / Newcast;28.5	BASSETERRE;30.8	Charlestown / Newcast;26.3	Vc Bird International Airport Antigua;4023.78	Vc Bird International Airport Antigua;26.3	Vc Bird International Airport Antigua;253.0	EMPTY;0.0	Vc Bird International Airport Antigua;45.0	COOLIDGE FIELD (UA);4.0	Vc Bird International Airport Antigua;3.0	Vc Bird International Airport Antigua;2.0
Argentina	Las Lomitas;24.2	Las Lomitas;31.4	Formosa Aerodrome;18.4	Buenos Aires Observatorio;3407.14	Comodoro Rivadavia Aerodrome;38.0	Ushuaia Aerodrome;248.0	Ushuaia Aerodrome;85.0	Resistencia Aero.;116.0	Tandil Aerodrome;95.0	Resistencia Aero.;17.0	Jujuy Aerodrome;16.0
Armenia	Yerevan;14.3	Yerevan;20.8	Yerevan;8.6	Yerevan;1244.4	Yerevan;9.0	Yerevan;92.0	Yerevan;44.0	Yerevan;79.0	Yerevan;47.0	Yerevan;1.0	Yerevan;5.0
Aruba	Queen Beatrix Airport;29.3	Queen Beatrix Airport;32.5	Queen Beatrix Airport;26.8	Queen Beatrix Airport;1119.05	Queen Beatrix Airport;30.8	Queen Beatrix Airport;191.0	Queen Beatrix Airport;3.0	Queen Beatrix Airport;37.0	Queen Beatrix Airport;2.0	Queen Beatrix Airport;3.0	Queen Beatrix Airport;4.0
Australia	WYNDHAM;30.6	FITZROY CROSSING AE;36.8	BROWSE ISLAND AWS;28.1	SOUTH JOHNSTONE STN;4211.8	WILSONS PROMONTORY;42.7	HORN ISLAND;359.0	KING ISLAND AIRPORT;106.0	Darwin Airport;113.0	KATOOMBA;223.0	Alice Springs Aerodrome;3.0	Macquarie Island;49.0
Austria	Niederosterreich / Lugplatz  Voslau;14.0	NEUSIEDL;17.5	Niederosterreich / Lugplatz  Voslau;10.9	ALPINZENTRUM RUDOLF;2801.31	SONNBLICK;37.6	Salzburg-Flughafen;241.0	SONNBLICK - AUTOM.;211.0	Klagenfurt-Flughafen;66.0	SONNBLICK;229.0	Graz-Thalerhof-Flughafen;2.0	FEUERKOGEL;7.0
Azerbaijan	Baku / Bine Airport;16.4	Baku / Bine Airport;20.3	Baku / Bine Airport;11.9	Baku / Bine Airport;199.9	Baku / Bine Airport;20.2	Baku / Bine Airport;133.0	Baku / Bine Airport;41.0	Baku / Bine Airport;23.0	Baku / Bine Airport;83.0	EMPTY;0.0	Baku / Bine Airport;1.0
Bahamas	Nassau Airport;26.6	Nassau Airport;30.7	Nassau Airport;22.8	Nassau Airport;2377.35	Freeport, Grand Bahama;19.7	Nassau Airport;208.0	Nassau Airport;2.0	Freeport, Grand Bahama;105.0	Freeport, Grand Bahama;16.0	Freeport, Grand Bahama;12.0	Freeport, Grand Bahama;3.0
Bahrain	Bahrain International Airport;28.3	Bahrain International Airport;32.1	Bahrain International Airport;25.2	Bahrain International Airport;373.89	Bahrain International Airport;20.0	Bahrain International Airport;65.0	Bahrain International Airport;4.0	Bahrain International Airport;15.0	Bahrain International Airport;13.0	Bahrain International Airport;1.0	Bahrain International Airport;3.0
Bangladesh	Chittagong Patenga;27.0	SAIDPUR;31.9	Kurmitola, Dia;23.4	Chittagong Patenga;3715.22	CHANDPUR;11.9	CHANDPUR;167.0	Chittagong Patenga;2.0	DACCA/TEZGAON;93.0	Kurmitola, Dia;157.0	CHANDPUR;1.0	SAIDPUR;4.0
